Track,Artist,Title,Time
01,Steve Goodman,City of New Orleans,3:52
02,Todd Snider,Corpus Christi Bay,6:37
03,Jimmy Buffett,It's My Job,3:15
04,Todd Snider,Doll Face,3:19
05,Steve Goodman,Turnpike Tom,2:27
06,Bill Withers,Sweet Wanomi,2:35
07,Willie Nelson,Time of the Preacher,2:27
08,Iron and Wine,The Rooster Moans,3:24
09,Steve Goodman,Mind Your Own Business,3:12
10,The Kinks,Sunny Afternoon,3:36
11,The Band,The Weight,4:34
12,Bill Withers,Ain't No Sunshine,2:05
13,Steve Goodman,Jazzman,4:55
14,Townes Van Zandt,Pancho And Lefty,3:40
15,Paul Simon,Me and Julio Down by the School Yard,2:44
16,The Kinks,This Time Tomorrow,3:22
17,Bob Dylan,Hurricane,8:33
18,Don McLean,General Store,3:46
19,Bill Withers,Grandma's Hands,2:00
20,Carole King,Smackwater Jack,3:42
21,Nick Drake,Free Ride,4:26
22,The Beatles,I've Just Seen A Face,2:05
